Campaign Name,Community Name,Heading,Sub-Heading,Country,Code,Zakat Eligibility
"The Blessed Lands - Syria, Palestine, Afghanistan",THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Amina for The Liberated Lands!,THE LIBERATED LANDS CHALLENGE!,Sponsorships,Unassigned,"Syria,Afghanistan,Gaza",SPN-ALL,Zakat
Coalsuma's LAST 10 DAYS APPEAL!,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Rethink & You From Fathima LAST 10 DAYS APPEAL,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Imthiaz for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Mohammed for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Tahmid for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Mohammad Riyadh for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
South London for The Liberated Lands!,Team South London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Nada's Liberated Lands Challenge,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Yusuf for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Ishratâ€™s fundraising page for Liberated Lands Ramadhan 2025,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Nusaybah for The Liberated Lands!,Team East London,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Aftab & Hina's Last 10 Days Appeal!,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Rising Ummah,THE LIBERATED LANDS CHALLENGE!,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Muhammad Ajwad for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan,General / Multi-Country",MST-SYR,Zakat
Maqsudahâ€™s Last 10 Days Appeal,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Servants of the Merciful,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,"Gaza,Syria",MST-GAZ,Zakat
Kauserâ€™s Ramadhan Appeal,TEAM SISTERS' PROJECT,Emergency Aid,Unassigned,Syria,EMR-SYR,Zakat
Hafsah@7G for The Liberated Lands!,Team 7th Goodmayes,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Hands For Syria,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
MuhidinRebuildShaam,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Nazia's LAST 10 DAYS APPEAL,TEAM SISTERS' PROJECT,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Saph's LAST 10 DAYS APPEAL,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Jakiya - AnsÄrÄ«yyah of the Ummah,AnsÄrÄ«yyah of the Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Help raise funds this Ramadan with Zayn and Khala Nadia,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Abu Khalid - AnsÄr of the Ummah,AnsÄr of the Ummah,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Aniqah - AnsÄrÄ«yyah of the Ummah,AnsÄrÄ«yyah of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Umar - AnsÄr of the Ummah,AnsÄr of the Ummah,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Umm Ismaeel - AnsÄrÄ«yyah of the Ummah,AnsÄrÄ«yyah of the Ummah,General Fund,Unassigned,General / Multi-Country,MST-ALL,Non-Zakat
Be The AnsÄr of Today,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
umme_madina,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Iqra@7G for The Liberated Lands!,Team 7th Goodmayes,Sponsorships,Unassigned,"Syria,Afghanistan,Gaza",SPN-ALL,Zakat
Our Jannah A&A,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Jahed - AnsÄr of the Ummah,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Kashmir Hairdressers,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Tanjim - AnsÄr of the Ummah for The Liberated Lands!,AnsÄr of the Ummah,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Ayoob's LAST 10 DAYS APPEAL,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Monwara - AnsÄrÄ«yyah of the Ummah,AnsÄrÄ«yyah of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Safiyyah's Last 10 Days Appeal!,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Fatimah's Last 10 Days Appeal!,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
MeemCo - AnsÄrÄ«yyah of the Ummah,AnsÄrÄ«yyah of the Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
AnsÄr Group,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Anfas - AnsÄr of the Ummah for The Liberated Lands!,AnsÄr of the Ummah,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Two Shades,TEAM INFLUENCERS,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Samra's LAST 10 DAYS APPEAL!,TEAM SISTERS' PROJECT,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Ramadan Challenge - Build Your Legacy with The Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Empower Syriaâ€™s Most Vulnerable â€“ Sponsorship,Empower Syriaâ€™s Most Vulnerable â€“ Sponsorships,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Asia & Nadia for Syria,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Ayesha's Fundraising Page,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Toseef's Greater Shaam Project,The Greater Shaam Project,Sponsorships,Unassigned,General / Multi-Country,SPN-ALL,Zakat
Ibrahim's Greater Greater Shaam Project,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Help the families and children of war in Syria,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Ghouta Masjid Project,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Yusufs First Charity Mission,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Haris Masjid project,TEAM INFLUENCERS,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
The Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Al-Kauthar,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Ammarah & Hiba's Liberated Lands Challenge,TEAM SISTERS' PROJECT,Village Project,Village Masjid / Village Mosque,Syria,VIL-SYR-MOS,Non-Zakat
Jannah Umm Ishaaq - seedsofJannah,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Inheritors of Quran,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,Afghanistan,MST-AFG,Non-Zakat
Help them get their lives back,TEAM INFLUENCERS,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Noreen/Ayah Ramadan 2025,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Fitrana and Fidya,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Walla's Walnut Waqf Project,Build a Legacy: Support the Walnut Waqf Project,Infrastructure,General Infrastructure,United States,INF-USA-GEN,Non-Zakat
LAUREN BOOTH - Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Sania's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Khizar for The Liberated Lands,TEAM INFLUENCERS,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Khalila & Aysha are going  to Deployment to Syria!,TEAM INFLUENCERS,Sponsorships,Unassigned,Syria,SPN-SYR,Zakat
Lauren Booth's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Asiaâ€™s fundraiser for Bilad Al - Shaam,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Noshi's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
"Fawzi, Zayn and Aydan - Shaam's super village legacy  Project",The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Safir for The Liberated Lands!,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Umm Ruhee's Ramadan Campaign,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,United Kingdom,MST-GBR,Zakat
Omar's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Rahim & Munna for The Liberated Lands!,THE LIBERATED LANDS CHALLENGE!,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Rise Together: Sama & Ayaanâ€™s Fundraiser - Last 10 Days Appeal!,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Shahid - AnsÄr of the Ummah,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Tyeeba Sharif for The Greater Shaam Project,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Rafi - AnsÄr of the Ummah,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Aminah for Survivors,Empower Syriaâ€™s Most Vulnerable â€“ Sponsorships,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Asma for Palestine,THE LIBERATED LANDS - RETHINK CHARITY INT.,General Fund,Most Needed / Flexible Allocation,Gaza,MST-GAZ,Zakat
Sumaiyah and Hiba's Fundraising Page,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Suhaib & Iqbal's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Plant a tree for Jannah,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Mus'ab Dihyah & Urwah's Call for the Blessed Lands,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Tears to Hope :Let's help Syria,Empower Syriaâ€™s Most Vulnerable â€“ Sponsorships,Sponsorships,Widow Sponsorship,Syria,SPN-SYR-WID,Zakat
Irfan - Tour-du-Maroc,Tour-du-Maroc,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Jav - Tour-du-Maroc,Tour-du-Maroc,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
ZAKSIDAT LIBERATED LANDS CHALLENGE,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Aishah's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Masroor Ahmed's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Raihan for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Aishaâ€™s Liberated Lands Challenge,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Syria Super Village Project,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Nazmul for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Mohammed Abdussalam for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Shamsa's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
LDN4SYRIA,The Greater Shaam Project,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
"Ismaeel, Binyamin, Fatimah, Zainab, Yusuf, Mariam, Juwairiah & Yunus",TEAM SISTERS' PROJECT,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Moazzam's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Haseebs Greater Shaam Project,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Voice of Truth,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Rebecca Jones Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Emaan for The Liberated Lands!,Team East London,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan,Palestine",SPN-SYR-ORP,Zakat
Bait Ul Wahid,Rethink Mosque Fund,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Share the Khair!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Nusaybah for The Liberated Lands!,TEAM INFLUENCERS,Emergency Aid,Unassigned,"Syria,Afghanistan,Gaza",EMR-SYR,Zakat
Umerji Family's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Adam's Syria Survivor Project,Empower Syriaâ€™s Most Vulnerable â€“ Sponsorships,Sponsorships,Unassigned,Syria,SPN-SYR,Zakat
Shabnam's Last 10 days Challenge,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Liberated lands project,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Ruby's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
The East End Ansar,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Samiul for The Liberated Lands!,Team East London,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Ahmed Yasin for The Liberated Lands!,Team East London,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Ø¨Ø§Ø¨ Ø§Ù„Ø®ÙŠØ±,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Anees & Mudni for The Liberated Lands!,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Yunus for The Liberated Lands!,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Samina's Last 10 Days Appeal!,TEAM SISTERS' PROJECT,Masjid General,Unassigned,Syria,MAS-SYR,Non-Zakat
Nargis's The Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Amina's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Ummati for The Liberated Lands!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Filza & Kash Fundraiser For Syria,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Syed for Greater Shaam!,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
DR UMM ABDULLAH EMERGENCY FOOD AID FOR GAZA,TEAM SISTERS' PROJECT,Food,Unassigned,Gaza,MST-GAZ,Zakat
SISTERS' PROJECT: EMERGENCY FOOD AID FOR GAZA,TEAM SISTERS' PROJECT,Emergency Aid,Unassigned,Gaza,MST-ALL,Zakat
Osman's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Build your legacy for when you're no longer here!,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Hussam for The Liberated Lands!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Asim Eiman's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Mumtaz's Page,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Farah for Greater Shaam!,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Amjad - Tour-du-Maroc,Tour-du-Maroc,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Nazam Ali's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Rianna's Syrian Challenge,Empower Syriaâ€™s Most Vulnerable â€“ Sponsorships,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Zafirah's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Anas for The Liberated Lands!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Abdullah Adeel for The Liberated Lands!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Yahya - AnsÄr of the Ummah,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Basilah for The Liberated Lands!,TEAM SHARE THE KHAIR!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Amira's and Asiyah's fundraiser,TEAM SISTERS' PROJECT,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Umm Hifzudeen for Syria,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Anna's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Abdul Hamid Faruki for The Liberated Lands,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Safwan - AnsÄr of the Ummah for The Liberated Lands!,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
TEAM DENTAL KENT SYRIA 2025,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Saira's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Tuba Li-Shaam,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Asnaâ€™s Super Village Syria,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza",MST-SYR,Zakat
Assist a Widow in Syria,Empower Syriaâ€™s Most Vulnerable â€“ Sponsorships,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Empower our Syrian brothers and sisters,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Numan Family's Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Mihadâ€™s Tutors - AnsÄr of the Ummah,AnsÄr of the Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan,Gaza",SPN-ALL-ORP,Zakat
Arshiya's Greater Shaam Project,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Benajir for survivors,Empower Syriaâ€™s Most Vulnerable â€“ Sponsorships,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
Zarqa's The Greater Shaam Project,The Greater Shaam Project,Sponsorships,Unassigned,General / Multi-Country,SPN-ALL,Zakat
Umm Mujahid - AnsÄrÄ«yyah of the Ummah,AnsÄrÄ«yyah of the Ummah,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Live in Bilaad As Shaam Specials,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
The Niqabi Diaries,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Umm Tayyibah for The Liberated Lands!,THE LIBERATED LANDS CHALLENGE!,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Super Village Legacy ; United For Syria's Future,The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
MHES Elevate in Ranks,TEAM SISTERS' PROJECT,Sponsorships,Huffaz Sponsorships,"Syria,Afghanistan",SPN-ALL-HUF,Zakat
Afghanistan Deployment [Sept] - AshbÄl Madrasah,AshbÄl Al-Ummah,One-Off Projects,Madrasa,Afghanistan,ONE-AFG-MAD,Non-Zakat
Taklimaâ€™s Movement for Hope - London Marathon 2025,TEAM SISTERS' PROJECT,One-Off Projects,Prosthetic Limbs,Gaza,MST-ALL,Non-Zakat
Syria Aid,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Greater Shaam with RawFlow,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,United Kingdom,MST-GBR,Zakat
Yasin - AnsÄr of the Ummah,AnsÄr of the Ummah,General Fund,Most Needed / Flexible Allocation,"Syria,Gaza,Afghanistan",MST-SYR,Zakat
Waqf Business Project - Team 'Muslim Power',Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,Village Project,Village Bakery,Syria,VIL-SYR-BAK,Non-Zakat
Nicolas/Nasr,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Unassigned,General / Multi-Country,MST-ALL,Non-Zakat
Ilyas (Abu Walid),Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Team Quwaa Al Muslimeen Qurbani Eid 2025 (Syria / Afghanistan),Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,"Syria,Afghanistan",MST-SYR,Zakat
Jamayel Monie,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,General / Multi-Country,MST-MTC,Zakat
Rebuilding Syria,The Greater Shaam Project,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned
Atia Rafiq for The Greater Shaam Project,The Greater Shaam Project,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Habib,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,Village Project,Village Bakery,Syria,VIL-SYR-BAK,Non-Zakat
AshbÄl Orphan - Orphan Sponsorship (1yr),AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,Syria,SPN-SYR-ORP,Zakat
"Aiya,Hamza & Aila's Fundraising page",The Greater Shaam Project,General Fund,Unassigned,General / Multi-Country,MST-MTC,Zakat
Deniz Yildirim and family,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,Village Project,Village Bakery,Syria,VIL-SYR-BAK,Non-Zakat
Ayub Azzoune,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,Infrastructure,Unassigned,Syria,INF-SYR,Non-Zakat
Stairs to Sucess,AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-ALL-ORP,Zakat
Abu Khalid - Orphan Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Orphan Sponsorship,"Syria,Afghanistan",SPN-ALL-ORP,Zakat
Qais Kiani - Hifdh Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Non-Zakat
Abu Khalid - Hifdh sponsorship [2yrs],AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
Orphan Sponsorship - Team Muslim Power,Ù‚ÙˆØ© Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† TEAM MUSLIM POWER,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Zakat
Umm Ismaeel - Hifdh Sponsorship [1yr],AshbÄl Al-Ummah,Sponsorships,Huffaz Sponsorships,Syria,SPN-SYR-HUF,Non-Zakat
Abu Ismail - Hifdh Sponsorship [1yr],AshbÄl Al-Ummah,General Fund,Most Needed / Flexible Allocation,Syria,MST-SYR,Non-Zakat
